Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
ci.apple-valley.mn.us,,,,Local,,Minnesota,"City of Apple Valley, MN -- Note added 4/19/15 22:21",http://www.ci.apple-valley.mn.us/,6/6/13 18:09
ci.arcadia.ca.us,,,,Local,,California,"City of Arcadia, CA -- Note added 12/5/13 15:14",http://www.ci.arcadia.ca.us/home/index.asp,6/6/13 18:08
ci.asheboro.nc.us,,,,Local,,North Carolina,"asheboro, nc -- Note added 9/11/15 19:10",http://ci.asheboro.nc.us/,6/6/13 18:08
ci.ashland.wi.us,,,,Local,,Wisconsin,"City of Ashland, WI -- Note added 7/25/14 5:30",http://www.coawi.org/,6/6/13 18:08
ci.athens.oh.us,,,,Local,,Ohio,"City of Athens, OH -- Note added 3/11/14 14:41",http://ci.athens.oh.us/,6/6/13 18:09
ci.atherton.ca.us,,,,Local,,California,City of Atherton website -- Note added 3/10/15 18:51,http://www.ci.atherton.ca.us/,6/6/13 18:08
ci.auburn.ny.us,,,,Local,,New York,"City of Auburn, NY -- Note added 6/17/15 17:14",http://www.auburnny.gov/Public_Documents/index,6/6/13 18:08
ci.aurora.or.us,,,,Local,,Oregon,"City of Aurora, OR -- Note added 6/20/14 9:32",http://ci.aurora.or.us/,6/6/13 18:08
ci.avondale.az.us,,,,Local,,Arizona,"City of Avondale, AZ -- Note added 12/11/13 13:55",http://ci.avondale.az.us/,6/6/13 18:08
ci.azusa.ca.us,,,,Local,,California,City of Azusa website -- Note added 3/10/15 21:00,http://www.ci.azusa.ca.us,6/6/13 18:08
ci.bainbridge-isl.wa.us,,,,Local,,Washington,"Bainbridge Island, WA -- Note added 9/12/14 5:34",http://ci.bainbridge-isl.wa.us/,6/6/13 18:08
ci.bandon.or.us,,,,Local,,Oregon,"City of Bandon, OR -- Note added 6/13/14 6:19",http://www.ci.bandon.or.us/,6/6/13 18:08
ci.banning.ca.us,,,,Local,,California,City of Banning website -- Note added 3/10/15 21:14,http://ci.banning.ca.us,6/6/13 18:08
ci.barrington.ri.us,,,,Local,,Rhode Island,"Town of Barrington, RI -- Note added 6/7/13 18:32",http://ci.barrington.ri.us/,6/6/13 18:08
ci.bay-city.or.us,,,,Local,,Oregon,"City of Bay City, OR -- Note added 6/13/14 6:21",http://ci.bay-city.or.us/,6/6/13 18:08
ci.bayport.mn.us,,,,Local,,Minnesota,"City of Bayport, MN -- Note added 7/25/13 15:00",http://www.ci.bayport.mn.us/,6/6/13 18:09
ci.beaumont.ca.us,,,,Local,,California,City of Beaumont website -- Note added 3/10/15 21:20,http://ci.beaumont.ca.us/,6/6/13 18:08
ci.bedford.nh.us,,,,Local,,New Hampshire,"bedford, nh -- Note added 8/28/15 18:42",http://ci.bedford.nh.us/Pages/index,6/6/13 18:08
ci.belgrade.mt.us,,,,Local,,Montana,"City of Belgrade, MT -- Note added 11/22/13 12:42",http://ci.belgrade.mt.us/,6/6/13 18:08
ci.bellaire.tx.us,,,,Local,,Texas,"City of Bellaire, TX -- Note added 3/10/15 6:59",http://ci.bellaire.tx.us/,6/6/13 18:08
ci.bellevue.wa.us,,,,Local,,Washington,"City of Bellevue, WA -- Note added 9/12/14 5:36",http://ci.bellevue.wa.us/,6/6/13 18:08
ci.bend.or.us,,,,Local,,Oregon,"City of Bend, OR -- Note added 6/20/14 16:51",http://ci.bend.or.us/,6/6/13 18:08
ci.benicia.ca.us,,,,Local,,California,City of Benicia website -- Note added 3/10/15 21:28,http://www.ci.benicia.ca.us/,6/6/13 18:08
ci.benton-city.wa.us,,,,Local,,Washington,"Benton City, WA -- Note added 9/12/14 5:37",http://ci.benton-city.wa.us/,6/6/13 18:08
ci.berkeley.ca.us,,,,Local,,California,"City of Berkeley, CA -- Note added 7/26/13 18:05",http://ci.berkeley.ca.us,6/6/13 18:08
ci.billings.mt.us,,,,Local,,Montana,"City of Billings, MT -- Note added 11/22/13 12:42",http://ci.billings.mt.us/,6/6/13 18:08
ci.blackdiamond.wa.us,,,,Local,,Washington,"City of Black Diamond, WA -- Note added 9/12/14 5:38",http://ci.blackdiamond.wa.us/,6/6/13 18:08
ci.blaine.wa.us,,,,Local,,Washington,"City of Blaine, WA -- Note added 9/12/14 5:38",http://ci.blaine.wa.us/,6/6/13 18:09
ci.bloomer.wi.us,,,,Local,,Wisconsin,"City of Bloomer, WI -- Note added 7/25/14 5:31",http://www.ci.bloomer.wi.us/index.html,6/6/13 18:08
