Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
nps.edu,Naval Postgraduate School,,Website - open to public,Federal,,,Naval Postgraduate School -- Note added 1/24/14 13:21,http://nps.edu/,1/24/14 13:21
origins.ou.edu,,,,State,,Oklahoma,"The Oklahoma Resources Integration General Information Network System (Origins) is an online database which contains economic, social, and demographic data intended for use by community leaders, educators, businesses, government agencies, and decision makers. -- Note added 8/28/15 18:22",http://origins.ou.edu/,6/6/13 18:08
passhe.edu,,,,State,,Pennsylvania,PA State System of Higher Education -- Note added 6/7/13 11:53,http://www.passhe.edu/Pages/default.aspx,6/7/13 11:53
rd.okstate.edu,,,,State,,Oklahoma,OK State AG Econ at OSU -- Note added 8/28/15 18:25,http://rd.okstate.edu/,6/6/13 18:08
sahp.vcu.edu/vcoa,,,,State,,Virginia,"The website of the Virginia Center on Aging (VCoA), a statewide agency created by the Virginia General Assembly and housed at Virginia Commonwealth University in the School of Allied Health Professions. VCoA works to protect and improve the quality of life of older Virginians, so that they might remain interdependent and contributing members to life in Virginia. -- Note added 6/27/14 14:23",http://www.sahp.vcu.edu/vcoa/,6/6/13 18:08
sbctc.ctc.edu,,,,State,,Washington,Washington State Board for Community and Technical Colleges -- Note added 4/8/14 18:22,http://www.sbctc.ctc.edu/,6/6/13 18:08
schev.edu,,,,State,,Virginia,"The State Council of Higher Education for Virginia (SCHEV) makes higher education public policy recommendations to the Governor and General Assembly in such areas as capital and operating budget planning, enrollment projections, institutional technology needs, and student financial aid. -- Note added 6/27/14 14:25",http://schev.edu/,6/6/13 18:08
sedac.ciesin.columbia.edu/,,,,Quasigovernmental,,,"SEDAC, the Socioeconomic Data and Applications Center, is one of the Distributed Active Archive Centers (DAACs) in the Earth Observing System Data and Information System (EOSDIS) of the U.S. National Aeronautics and Space Administration. Focusing on human interactions in the environment, SEDAC has as its mission to develop and operate applications that support the integration of socioeconomic and earth science data and to serve as an 'Information Gateway' between earth sciences and social sciences. from http://sedac.ciesin.columbia.edu/about 3/2/2019 DPM -- Note added 3/2/19 12:26",#N/A,3/2/19 12:24
si.edu,Smithsonian Institution,,Website - open to public,Federal,,,Smithsonian Institution -- Note added 6/26/13 16:24,http://www.si.edu/,6/6/13 18:08
sled.alaska.edu,,,,State,,Alaska,SLED (Statewide Library Electronic Doorway) -- Note added 6/6/13 18:08,http://sled.alaska.edu/,6/6/13 18:08
